,State,Population,Poverty Rate,Year,Unemployment Rate,Total Cases,Total Deaths
0,Alabama,4903185,12.9,2019,2.99,142863,2428
1,Alaska,731545,10.2,2019,6.13,6658,45
2,Arizona,7278717,9.9,2019,4.69,212942,5451
3,Arkansas,3017804,14.1,2019,3.55,74082,1173
4,California,39512223,10.1,2019,4.05,769831,14812
5,Colorado,5758736,9.3,2019,2.77,63750,2009
6,Connecticut,3565287,8.3,2019,3.74,55527,4492
7,Delaware,973764,6.5,2019,3.78,19449,621
8,District of Columbia,705749,12.5,2019,5.49,14852,619
9,Florida,21477737,11.5,2019,3.09,669684,13225
10,Georgia,10617423,12.1,2019,3.42,302737,6537
11,Hawaii,1415872,8.4,2019,2.71,11376,120
12,Idaho,1787065,7.1,2019,2.92,36959,470
13,Illinois,12671821,9.3,2019,3.97,272525,8647
14,Indiana,6732219,10.1,2019,3.32,109683,3495
15,Iowa,3155070,9.5,2019,2.76,78556,1260
16,Kansas,2913314,9.5,2019,3.18,52285,596
17,Kentucky,4467673,13.6,2019,4.29,60128,1101
18,Louisiana,4648794,17.9,2019,4.83,161322,5340
19,Maine,1344212,10.4,2019,3.05,5035,139
20,Maryland,6045680,7.0,2019,3.57,119744,3876
21,Massachusetts,6892503,7.5,2019,2.9,134466,9267
22,Michigan,9986857,10.2,2019,4.08,127500,6954
23,Minnesota,5639632,5.7,2019,3.23,87807,2002
24,Mississippi,2976149,19.2,2019,5.41,93087,2809
25,Missouri,6137428,9.4,2019,3.3,110129,1780
26,Montana,1068778,9.7,2019,3.49,10164,156
27,Nebraska,1934408,8.7,2019,3.04,40387,442
28,Nevada,3080156,10.4,2019,3.89,75284,1565
29,New Hampshire,1359711,3.7,2019,2.53,7861,438
30,New Jersey,8882190,6.3,2019,3.56,198848,16061
31,New Mexico,2096829,15.3,2019,4.86,27350,841
32,New York,19453561,12.5,2019,3.95,208746,9013
33,North Carolina,10488084,12.7,2019,3.87,191019,3207
34,North Dakota,762062,8.1,2019,2.37,17607,192
35,Ohio,11689100,12.4,2019,4.12,142596,4608
36,Oklahoma,3956971,10.8,2019,3.29,81552,939
37,Oregon,4217737,8.1,2019,3.74,30342,521
38,Pennsylvania,12801989,8.7,2019,4.37,148683,7934
39,Rhode Island,1059361,9.2,2019,3.56,23620,1088
40,South Carolina,5148714,15.1,2019,2.85,136318,3177
41,South Dakota,884659,10.6,2019,3.28,18075,198
42,Tennessee,6829174,13.1,2019,3.38,180497,2196
43,Texas,28995881,11.1,2019,3.5,682241,14713
44,Utah,3205958,7.3,2019,2.61,62467,437
45,Vermont,623989,8.6,2019,2.38,1706,58
46,Virginia,8535519,8.8,2019,2.78,139655,2990
47,Washington,7614893,7.0,2019,4.26,81602,2037
48,West Virginia,1792147,13.9,2019,4.91,13683,297
49,Wisconsin,5822434,8.4,2019,3.35,103154,1246
50,Wyoming,578759,9.2,2019,3.61,4747,49
