,submission_date,state,tot_cases,tot_death
0,9/18/2020,CO,63750,2009
1,9/18/2020,FL,669684,13225
2,9/18/2020,AZ,212942,5451
3,9/18/2020,SC,136318,3177
4,9/18/2020,CT,55527,4492
5,9/18/2020,NE,40387,442
6,9/18/2020,KY,60128,1101
7,9/18/2020,WY,4747,49
8,9/18/2020,IA,78556,1260
9,9/18/2020,NM,27350,841
10,9/18/2020,ND,17607,192
11,9/18/2020,WA,81602,2037
12,9/18/2020,TN,180497,2196
13,9/18/2020,MA,134466,9267
14,9/18/2020,PA,148683,7934
15,9/18/2020,OH,142596,4608
16,9/18/2020,AL,142863,2428
17,9/18/2020,MI,127500,6954
18,9/18/2020,VA,139655,2990
19,9/18/2020,CA,769831,14812
20,9/18/2020,NJ,198848,16061
21,9/18/2020,IL,272525,8647
22,9/18/2020,MS,93087,2809
23,9/18/2020,TX,682241,14713
24,9/18/2020,LA,161322,5340
25,9/18/2020,GA,302737,6537
26,9/18/2020,NY,208746,9013
27,9/18/2020,NV,75284,1565
28,9/18/2020,WI,103154,1246
29,9/18/2020,IN,109683,3495
30,9/18/2020,OR,30342,521
31,9/18/2020,MD,119744,3876
32,9/18/2020,OK,81552,939
33,9/18/2020,NC,191019,3207
34,9/18/2020,ID,36959,470
35,9/18/2020,UT,62467,437
36,9/18/2020,MO,110129,1780
37,9/18/2020,AR,74082,1173
38,9/18/2020,DE,19449,621
39,9/18/2020,MN,87807,2002
40,9/18/2020,WV,13683,297
41,9/18/2020,RI,23620,1088
42,9/18/2020,DC,14852,619
43,9/18/2020,ME,5035,139
44,9/18/2020,KS,52285,596
45,9/18/2020,SD,18075,198
46,9/18/2020,NH,7861,438
47,9/18/2020,HI,11376,120
48,9/18/2020,MT,10164,156
49,9/18/2020,AK,6658,45
50,9/18/2020,VT,1706,58
