,State,Poverty Rate,Year,Unemployment Rate
0,Alabama,12.9,2019,2.99
1,Alaska,10.2,2019,6.13
2,Arizona,9.9,2019,4.69
3,Arkansas,14.1,2019,3.55
4,California,10.1,2019,4.05
5,Colorado,9.3,2019,2.77
6,Connecticut,8.3,2019,3.74
7,Delaware,6.5,2019,3.78
8,District of Columbia,12.5,2019,5.49
9,Florida,11.5,2019,3.09
10,Georgia,12.1,2019,3.42
11,Hawaii,8.4,2019,2.71
12,Idaho,7.1,2019,2.92
13,Illinois,9.3,2019,3.97
14,Indiana,10.1,2019,3.32
15,Iowa,9.5,2019,2.76
16,Kansas,9.5,2019,3.18
17,Kentucky,13.6,2019,4.29
18,Louisiana,17.9,2019,4.83
19,Maine,10.4,2019,3.05
20,Maryland,7.0,2019,3.57
21,Massachusetts,7.5,2019,2.9
22,Michigan,10.2,2019,4.08
23,Minnesota,5.7,2019,3.23
24,Mississippi,19.2,2019,5.41
25,Missouri,9.4,2019,3.3
26,Montana,9.7,2019,3.49
27,Nebraska,8.7,2019,3.04
28,Nevada,10.4,2019,3.89
29,New Hampshire,3.7,2019,2.53
30,New Jersey,6.3,2019,3.56
31,New Mexico,15.3,2019,4.86
32,New York,12.5,2019,3.95
33,North Carolina,12.7,2019,3.87
34,North Dakota,8.1,2019,2.37
35,Ohio,12.4,2019,4.12
36,Oklahoma,10.8,2019,3.29
37,Oregon,8.1,2019,3.74
38,Pennsylvania,8.7,2019,4.37
39,Rhode Island,9.2,2019,3.56
40,South Carolina,15.1,2019,2.85
41,South Dakota,10.6,2019,3.28
42,Tennessee,13.1,2019,3.38
43,Texas,11.1,2019,3.5
44,Utah,7.3,2019,2.61
45,Vermont,8.6,2019,2.38
46,Virginia,8.8,2019,2.78
47,Washington,7.0,2019,4.26
48,West Virginia,13.9,2019,4.91
49,Wisconsin,8.4,2019,3.35
50,Wyoming,9.2,2019,3.61
